mask_id,segmentation,area,bbox,predicted_iou,point_coords,stability_score,crop_box
1,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",38428,"[0.0, 509.0, 346.0, 134.0]",0.9912949204444885,"[[324.0703125, 551.03125]]",0.9742093086242676,"[0.0, 0.0, 1257.0, 916.0]"
2,"[[ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",13398,"[0.0, 0.0, 362.0, 54.0]",0.9906258583068848,"[[9.8203125, 7.15625]]",0.9842187166213989,"[0.0, 0.0, 1257.0, 916.0]"
3,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",38454,"[0.0, 510.0, 344.0, 236.0]",0.9892144799232483,"[[9.8203125, 522.40625]]",0.9743609428405762,"[0.0, 0.0, 1257.0, 916.0]"
4,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",38327,"[0.0, 210.0, 354.0, 136.0]",0.9889604449272156,"[[186.5859375, 307.71875]]",0.9832850098609924,"[0.0, 0.0, 1257.0, 916.0]"
5,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",38461,"[0.0, 212.0, 345.0, 431.0]",0.9863848090171814,"[[324.0703125, 636.90625]]",0.9723418354988098,"[0.0, 0.0, 1257.0, 916.0]"
6,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",27228,"[819.0, 288.0, 403.0, 123.0]",0.9815880060195923,"[[1011.4921875, 393.59375]]",0.9515597224235535,"[0.0, 0.0, 1257.0, 916.0]"
7,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",70954,"[431.0, 251.0, 317.0, 474.0]",0.9813473224639893,"[[716.8828125, 307.71875]]",0.9832944273948669,"[0.0, 0.0, 1257.0, 916.0]"
8,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",45451,"[419.0, 542.0, 320.0, 202.0]",0.9813366532325745,"[[441.9140625, 565.34375]]",0.9759478569030762,"[0.0, 0.0, 1257.0, 916.0]"
9,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",70902,"[431.0, 252.0, 317.0, 250.0]",0.980976402759552,"[[716.8828125, 322.03125]]",0.9843684434890747,"[0.0, 0.0, 1257.0, 916.0]"
10,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",35424,"[0.0, 48.0, 381.0, 134.0]",0.979428231716156,"[[363.3515625, 93.03125]]",0.9509447813034058,"[0.0, 0.0, 1257.0, 916.0]"
11,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",8361,"[0.0, 655.0, 63.0, 139.0]",0.9790573120117188,"[[49.1015625, 780.03125]]",0.9829181432723999,"[0.0, 0.0, 1257.0, 916.0]"
12,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36844,"[0.0, 347.0, 370.0, 127.0]",0.9789794683456421,"[[304.4296875, 465.15625]]",0.9805908799171448,"[0.0, 0.0, 1257.0, 916.0]"
13,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",63995,"[440.0, 0.0, 316.0, 220.0]",0.9783523082733154,"[[481.1953125, 7.15625]]",0.9862962961196899,"[0.0, 0.0, 1257.0, 916.0]"
14,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36964,"[0.0, 348.0, 370.0, 183.0]",0.9755502343177795,"[[363.3515625, 393.59375]]",0.9770028591156006,"[0.0, 0.0, 1257.0, 916.0]"
15,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",35964,"[0.0, 46.0, 661.0, 145.0]",0.9754734039306641,"[[9.8203125, 64.40625]]",0.9609140753746033,"[0.0, 0.0, 1257.0, 916.0]"
16,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",28209,"[62.0, 657.0, 296.0, 162.0]",0.9747859239578247,"[[245.5078125, 708.46875]]",0.9666144847869873,"[0.0, 0.0, 1257.0, 916.0]"
